portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,window_start,window_end,window_length,rolling_step_months,rank,quintile
ME3 BM1,ff3,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,-0.0009209221668100723,0.0011874127822054622,-0.7755703666079635,0.4380027028952731,12,0.9143731252547149,0.013283712571240036,-0.0009209221668100723,0.0011874127822054622,-0.7755703666079635,0.4380027028952731,1.0334137837518016,0.04264003566591622,24.235762649182025,9.34321576406852e-130,0.5274740317653094,0.10780450275438308,4.892875698959276,9.937317292038121e-07,-0.20248219846128007,0.047196693561605066,-4.2901776201119555,1.7853027254460522e-05,5.109761778325179e-05,6.968370328678545e-08,3.4439671859006014e-09,5.1097614435647546e-05,0.00021868145339287953,-0.0003775180342143963,0.0004797132630856914,0.5923764265382175,6.1317137322777056,0.0,0.9226904964445574,22,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,12,22,1
BIG HiBM,ff3,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,-0.0015066846052843822,0.001350081763642227,-1.1159950796014566,0.2644242407800246,12,0.9283861597001988,0.015031875736877559,-0.0015066846052843822,0.001350081763642227,-1.1159950796014566,0.2644242407800246,1.0513457662972185,0.030198465373495964,34.81454283501255,1.4655100462277004e-265,-0.11228800525709111,0.08158629881946099,-1.3763095872944142,0.1687258059549338,0.8746571330050116,0.04081966605773362,21.42734660709701,7.42952959093387e-102,5.109761778325179e-05,6.968370328678545e-08,2.6640495761560085e-09,5.1097613633242725e-05,0.00021868145356343304,-0.000377518035351086,0.0004797132626175715,0.5923764250430605,6.1317136359891276,0.0,0.9226904964445574,23,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,12,23,1
ME5 BM2,ff3,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,-0.0008836349105429062,0.0010121209142077918,-0.8730527135036487,0.38263434625721693,12,0.9343518407850222,0.009405622225826445,-0.0008836349105429062,0.0010121209142077918,-0.8730527135036487,0.38263434625721693,0.9919449917942808,0.06200151768777041,15.998721140820374,1.3042675982439907e-57,-0.16608414266879737,0.06420022255833151,-2.586971447301377,0.009682361505278637,-0.10026190864492908,0.032797873882129715,-3.0569636618902267,0.0022359137986152056,5.109761778325179e-05,6.968370328678545e-08,4.740210691062451e-09,5.1097613352422666e-05,0.00021868145310941514,-0.000377518034742031,0.00047971326144687635,0.5923764247328778,6.13171360229072,0.0,0.9226904964445574,24,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,12,24,1
ME4 BM1,ff3,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,-0.0007723999317048137,0.0008159546209177894,-0.9466211868939657,0.3438318438448842,12,0.9290971289381159,0.011252680947694523,-0.0007723999317048137,0.0008159546209177894,-0.9466211868939657,0.3438318438448842,1.1000389675033273,0.03740466096348705,29.409141512528123,4.1959325658575333e-190,0.005351984133962713,0.06725460219178514,0.07957796135201042,0.936572923910189,-0.13765500643823547,0.04233236061561238,-3.2517677832373857,0.001146896822704285,5.109761778325179e-05,6.968370328678545e-08,7.2934066724142596e-09,5.109761177714927e-05,0.00021868145255107856,-0.0003775180352229647,0.0004797132587772633,0.5923764221680785,6.131713413257912,0.0,0.9226904964445574,25,1942-07-31 23:59:59.999999999,1952-06-30 23:59:59.999999999,120,12,25,1
ME5 BM3,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0022838920850352224,0.0011957995282072078,1.9099289062768976,0.05614236763673478,12,0.8727373447294002,0.012218966734930913,0.0022838920850352224,0.0011957995282072078,1.9099289062768976,0.05614236763673478,0.8369483796263142,0.035145903799185536,23.81353981984408,2.418133300734832e-125,-0.1912883210553666,0.06117905863615811,-3.126696051225463,0.0017678259144030674,0.1775136099985538,0.07014552117465209,2.5306478165094943,0.011385210113478747,7.485166525372311e-05,6.835561052589499e-08,3.267620231386201e-09,7.485167247202828e-05,0.0002045122205643122,-0.0003259922798340237,0.00047569562477808023,0.6428178266151363,8.982200696643392,0.0,0.8276222204355129,1,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,1,5
ME4 BM3,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0018012985329259107,0.0011489501170470228,1.5677778401341937,0.1169329882141213,12,0.9425236933088619,0.011083579193978836,0.0018012985329259107,0.0011489501170470228,1.5677778401341937,0.1169329882141213,1.0422170112326423,0.040581134583073775,25.682303413649425,1.8429733783114194e-145,0.5352120040602037,0.05150140228059415,10.392183132106151,2.6912146127787226e-25,0.10036647012318826,0.08027086226709729,1.2503474771358982,0.21117264213653797,7.485166525372311e-05,6.835561052589499e-08,3.539533150890207e-09,7.485167136453903e-05,0.00020451222050870272,-0.0003259922808325183,0.00047569562356159634,0.6428178246318456,8.982200563744684,0.0,0.8276222204355129,2,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,2,5
ME2 BM5,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0015000228073842633,0.0012516607670987681,1.1984260007295549,0.2307512152810539,12,0.929928654997697,0.016852920639522647,0.0015000228073842633,0.0012516607670987681,1.1984260007295549,0.2307512152810539,1.0853508748768703,0.030038216406399174,36.1323342302592,7.04842458341275e-286,0.8376829137870725,0.06989642642355431,11.984631499054474,4.2774218679218884e-33,0.9273097407323329,0.07729370375843915,11.99722222692798,3.674217058675218e-33,7.485166525372311e-05,6.835561052589499e-08,2.9824629181699992e-09,7.485166950424319e-05,0.0002045122206226304,-0.00032599228291611235,0.0004756956219245987,0.6428178211619893,8.982200340509182,0.0,0.8276222204355129,3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,3,5
SMALL HiBM,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0012494417470788478,0.0012943114340143913,0.9653331603535501,0.3343779677735378,12,0.9417158326928817,0.01553192955308015,0.0012494417470788478,0.0012943114340143913,0.9653331603535501,0.3343779677735378,0.9968186202805908,0.04104107606056473,24.288315901112718,2.6050260071698847e-130,1.3378682484185231,0.11850825094362726,11.28924136307546,1.4831122559367406e-29,0.8102521212111462,0.05436422756179628,14.904141152196557,3.0977010107274053e-50,7.485166525372311e-05,6.835561052589499e-08,2.789142841020184e-09,7.485166852982264e-05,0.00020451222066216672,-0.0003259922839680241,0.00047569562102766944,0.6428178193579298,8.982200223578717,0.0,0.8276222204355129,4,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,4,5
ME3 BM3,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0004027453794054293,0.0006853779447517807,0.5876252401896143,0.5567838655515387,12,0.947788814919032,0.010494581210322986,0.0004027453794054293,0.0006853779447517807,0.5876252401896143,0.5567838655515387,1.0327773135339327,0.033883428163664006,30.480307616614333,4.7532904526446036e-204,0.6778955916920767,0.06936727083189176,9.772556762899379,1.4767736511494312e-22,-0.030283586486843535,0.04455655145731295,-0.6796663003836032,0.49671577874169803,7.485166525372311e-05,6.835561052589499e-08,9.94690749729448e-09,7.485166851525154e-05,0.00020451221919831644,-0.0003259922811134487,0.00047569561814395176,0.6428178203087677,8.982200221830185,0.0,0.8276222204355129,5,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,5,5
ME4 BM2,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0006490207531812432,0.0010129286825061197,0.6407368696239106,0.5216936553555594,12,0.9438062095926999,0.009899272005456696,0.0006490207531812432,0.0010129286825061197,0.6407368696239106,0.5216936553555594,1.019556027513205,0.0341958847921866,29.815167342772277,2.484473891440904e-195,0.36511481170435717,0.05495819762899733,6.643500468649165,3.063195052796679e-11,-0.07989383570947518,0.026311877202188385,-3.0364171699171023,0.0023940787648750596,7.485166525372311e-05,6.835561052589499e-08,4.553974487878381e-09,7.485166786847448e-05,0.0002045122203012371,-0.00032599228392195023,0.00047569561965889916,0.6428178183924096,8.982200144216938,0.0,0.8276222204355129,6,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,6,4
ME2 BM2,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0004448416256000564,0.0008321718194221036,0.5345550224339174,0.5929575922824717,12,0.949349391471154,0.010512367941439237,0.0004448416256000564,0.0008321718194221036,0.5345550224339174,0.5929575922824717,1.001261675133524,0.028246498562106856,35.44728465838003,3.1939981258765334e-275,0.9024765922351862,0.04835961345590351,18.661782585547446,1.0129505189333754e-77,-0.09916283077046842,0.05090739496177916,-1.9479062097936661,0.051426186636547355,7.485166525372311e-05,6.835561052589499e-08,6.747180378106031e-09,7.485166775011211e-05,0.0002045122198526997,-0.0003259922831611793,0.0004756956186614035,0.6428178184759687,8.982200130013453,0.0,0.8276222204355129,7,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,7,4
ME5 BM4,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0005783947375875386,0.0010125464194555246,0.5712278730871007,0.5678451864334492,12,0.9248273418536535,0.011756822373140586,0.0005783947375875386,0.0010125464194555246,0.5712278730871007,0.5678451864334492,0.9633777440622244,0.039066378748340964,24.66002160753475,2.8732884560927467e-134,-0.26556527235577965,0.08693878396446864,-3.0546237277060904,0.002253430434974786,0.5496332458220459,0.09297199127587125,5.911815357284819,3.3835770966954626e-09,7.485166525372311e-05,6.835561052589499e-08,4.557413628525665e-09,7.485166754857717e-05,0.00020451222030053374,-0.00032599228424046894,0.00047569561933762333,0.6428178178092823,8.98220010582926,0.0,0.8276222204355129,8,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,8,4
ME4 BM5,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.001190977657142811,0.0015925682580136397,0.7478346068684554,0.45455992516998234,12,0.9020709386812868,0.019905582550680416,0.001190977657142811,0.0015925682580136397,0.7478346068684554,0.45455992516998234,1.096231124957901,0.039582511103810586,27.694835279219248,8.05741911484578e-169,0.6774872502784843,0.10364156673744113,6.536829494239381,6.283661452189932e-11,0.9484862836621147,0.10210404630058122,9.289409362581898,1.55146857141281e-20,7.485166525372311e-05,6.835561052589499e-08,1.8422655102336156e-09,7.485166730992354e-05,0.00020451222085581466,-0.0003259922855674732,0.0004756956201873203,0.6428178170031363,8.982200077190825,0.0,0.8276222204355129,9,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,9,4
ME3 BM2,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0004394418754695034,0.0009263040140041992,0.4744035098907725,0.635212190618864,12,0.9353860040920704,0.011782158373022855,0.0004394418754695034,0.0009263040140041992,0.4744035098907725,0.635212190618864,1.0690767006576825,0.02066762854155124,51.72711027336092,0.0,0.6634442147631802,0.07062130950457822,9.39439128808806,5.7549618662488455e-21,-0.14732249280199902,0.09356482974340355,-1.5745498945065464,0.1153603761094166,7.485166525372311e-05,6.835561052589499e-08,5.445543590469808e-09,7.4851667239115e-05,0.00020451222011890033,-0.00032599228419392967,0.00047569561867215966,0.6428178173659999,8.9822000686938,0.0,0.8276222204355129,10,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,10,4
ME2 BM3,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0002904648987317071,0.0008857430905743061,0.3279335755736721,0.742961886593107,12,0.9426024296575423,0.01145063357063193,0.0002904648987317071,0.0008857430905743061,0.3279335755736721,0.742961886593107,1.0112470447468953,0.03366147894192181,30.0416700790735,2.8049791099872342e-198,0.7533878551222686,0.06749999748071829,11.161301973936778,6.306120027171534e-29,0.12558847864897205,0.05778589091345557,2.173341565972612,0.029754619266293438,7.485166525372311e-05,6.835561052589499e-08,5.95569959973519e-09,7.485166653785076e-05,0.00020451222001456718,-0.0003259922846907009,0.0004756956177664024,0.6428178161563289,8.98219998454209,0.0,0.8276222204355129,11,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,11,3
ME2 BM4,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.00025871825766346626,0.0008630548834248196,0.2997703421094229,0.7643523390977066,12,0.9410016034671542,0.012331128631765245,0.00025871825766346626,0.0008630548834248196,0.2997703421094229,0.7643523390977066,1.03357157741398,0.024191126465292114,42.72523558987146,0.0,0.8186960986486622,0.06066719411094245,13.494873310796407,1.6764308541978242e-41,0.23604617172870926,0.048151994438722374,4.902105810572367,9.481473958178204e-07,7.485166525372311e-05,6.835561052589499e-08,6.272945320810242e-09,7.48516664071082e-05,0.00020451221994968657,-0.0003259922846942775,0.0004756956175084938,0.642817815961133,8.982199968852983,0.0,0.8276222204355129,12,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,12,3
ME1 BM3,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,0.0003887534161961142,0.001492626912715619,0.260449153692957,0.7945173316180925,12,0.8960952227833742,0.019229391630308523,0.0003887534161961142,0.001492626912715619,0.260449153692957,0.7945173316180925,1.05890268389312,0.06760221528234688,15.663727578608414,2.6773438087023452e-55,1.3783317475382093,0.05973192098952496,23.075295833528003,8.198726290487354e-118,0.18670488325409568,0.09145494833399735,2.0414956943854095,0.041201581405380584,7.485166525372311e-05,6.835561052589499e-08,2.0972287206157444e-09,7.485166591204688e-05,0.00020451222080367158,-0.00032599228686314944,0.0004756956186872432,0.6428178144877696,8.982199909445626,0.0,0.8276222204355129,13,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,13,3
BIG LoBM,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,6.95621949724681e-05,0.0006972414932771644,0.09976772128909436,0.9205287348380317,12,0.9711669773421533,0.006419834316440115,6.95621949724681e-05,0.0006972414932771644,0.09976772128909436,0.9205287348380317,1.079127277772252,0.021417418887714156,50.38549619026597,0.0,-0.11045067516094349,0.03150158517935033,-3.506194197279483,0.0004545634372785377,-0.35447449846716855,0.024414069068194155,-14.519271551048664,9.147717927915324e-48,7.485166525372311e-05,6.835561052589499e-08,9.611294404054204e-09,7.485166520288445e-05,0.0002045122192669534,-0.0003259922845603442,0.00047569561496611307,0.6428178142201006,8.982199824346134,0.0,0.9205287348380317,14,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,14,3
ME2 BM1,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,-0.0004646661926954978,0.001753982492683276,-0.26492065606917353,0.7910705854499571,12,0.8741158315818209,0.017453920263859023,-0.0004646661926954978,0.001753982492683276,-0.26492065606917353,0.7910705854499571,0.9076743606629395,0.07206640671450937,12.594971805083691,2.2504033814706256e-36,1.1687982144121958,0.1277501418792223,9.149095235582616,5.741235964197248e-20,-0.05454554611308407,0.08633401863736039,-0.6317966773005039,0.527519745105077,7.485166525372311e-05,6.835561052589499e-08,1.5187903330674166e-09,7.485166443430862e-05,0.0002045122209219693,-0.0003259922885727512,0.0004756956174413685,0.6428178117129051,8.982199732117033,0.0,0.8276222204355129,15,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,15,3
ME3 BM1,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,-0.0004548499052922709,0.0011722510070113663,-0.38801408791441594,0.6980056081398156,12,0.9349903855967318,0.011021188250918659,-0.0004548499052922709,0.0011722510070113663,-0.38801408791441594,0.6980056081398156,1.0055857435734123,0.03434835175704581,29.276098914037078,2.0902580279365423e-188,0.654418811881236,0.06992992089215268,9.358208954511671,8.109973318298218e-21,-0.22798457138341363,0.03833932596237716,-5.946493989151965,2.739465897617924e-09,7.485166525372311e-05,6.835561052589499e-08,3.400220667204512e-09,7.485166345262089e-05,0.00020451222053719382,-0.000325992288800279,0.00047569561570552074,0.642817810178903,8.982199614314508,0.0,0.8276222204355129,16,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,16,2
ME1 BM2,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,-0.0012083425018401274,0.0018022617222882202,-0.6704589499387301,0.5025652663978619,12,0.8193321967952504,0.024917338107108358,-0.0012083425018401274,0.0018022617222882202,-0.6704589499387301,0.5025652663978619,1.0907010535252704,0.07104505684263418,15.352244082810559,3.421431335739308e-53,1.182115323912314,0.11288337987521833,10.472005048210182,1.1615622158761867e-25,0.002419871901395586,0.1070172858336196,0.02261197228602653,0.9819597937668979,7.485166525372311e-05,6.835561052589499e-08,1.4385091036879047e-09,7.485166340783662e-05,0.0002045122209383878,-0.0003259922896314035,0.0004756956164470767,0.6428178098293227,8.982199608940395,0.0,0.8276222204355129,17,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,17,2
BIG HiBM,ff3,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,-0.0005920487865287315,0.0012805563052920204,-0.4623371764927741,0.6438395435843429,12,0.9294356535129186,0.01398229211410581,-0.0005920487865287315,0.0012805563052920204,-0.4623371764927741,0.6438395435843429,1.059154023822627,0.03150830365654746,33.61507605638851,1.010251988028934e-247,-0.08130025921691054,0.08733651955510915,-0.9308850367641484,0.35191303547987485,0.8532773943604042,0.034458531458870935,24.762442223600278,2.2772565116755805e-135,7.485166525372311e-05,6.835561052589499e-08,2.8493839533486533e-09,7.485166335346766e-05,0.00020451222064984666,-0.00032599228912023176,0.0004756956158271671,0.6428178099227964,8.98219960241612,0.0,0.8276222204355129,18,1943-07-31 23:59:59.999999999,1953-06-30 23:59:59.999999999,120,12,18,2
