portfolio,mean_rank,median_rank,rank_volatility,mean_score,score_volatility,maximum_rank_improvement,maximum_rank_deterioration,same_quintile_probability,move_up_probability,move_down_probability,time_in_quintile_1,time_in_quintile_2,time_in_quintile_3,time_in_quintile_4,time_in_quintile_5,mobility_horizon_months,window_overlap_fraction,structural_inference_eligible
ME5 BM2,14.444444444444445,14.5,7.541810218593636,-0.0001244472144962625,0.0008959986939107206,24.0,19.0,0.175,0.45,0.375,0.26666666666666666,0.17777777777777778,0.23333333333333334,0.16666666666666666,0.15555555555555556,120,0.0,True
ME3 BM1,14.622222222222222,16.0,6.212668785088135,7.733987944918019e-05,0.0007458277983307785,22.0,17.0,0.2375,0.275,0.4875,0.2,0.3333333333333333,0.15555555555555556,0.2111111111111111,0.1,120,0.0,True
ME3 BM5,15.077777777777778,14.0,5.732281499195367,2.2890496213295998e-05,0.0007301614892000239,13.0,18.0,0.3125,0.4125,0.275,0.23333333333333334,0.25555555555555554,0.23333333333333334,0.26666666666666666,0.011111111111111112,120,0.0,True
ME4 BM5,15.3,15.0,4.952470726025024,-0.00019318338736565521,0.0008191088377797499,15.0,19.0,0.275,0.3375,0.3875,0.15555555555555556,0.32222222222222224,0.32222222222222224,0.17777777777777778,0.022222222222222223,120,0.0,True
ME1 BM3,15.377777777777778,16.0,6.429527701699119,-3.6292512944589674e-05,0.0007253233651581906,17.0,20.0,0.125,0.45,0.425,0.24444444444444444,0.26666666666666666,0.25555555555555554,0.12222222222222222,0.1111111111111111,120,0.0,True
ME1 BM2,17.822222222222223,19.0,5.622142775514035,-0.00019775635559007043,0.0006184330589855605,16.0,17.0,0.225,0.4375,0.3375,0.4111111111111111,0.34444444444444444,0.12222222222222222,0.05555555555555555,0.06666666666666667,120,0.0,True
BIG HiBM,18.355555555555554,18.5,4.587014184204404,-0.00039278268177523614,0.0009435071845399533,11.0,13.0,0.4375,0.275,0.2875,0.3333333333333333,0.45555555555555555,0.12222222222222222,0.08888888888888889,0.0,120,0.0,True
ME2 BM1,18.644444444444446,21.0,5.247388031065007,-0.0005530307000061354,0.0009897563002723394,17.0,17.0,0.3,0.3875,0.3125,0.5222222222222223,0.17777777777777778,0.18888888888888888,0.1111111111111111,0.0,120,0.0,True
SMALL LoBM,19.666666666666668,20.0,4.4241421437229125,-0.0008141248241666944,0.0013558642409121843,12.0,16.0,0.325,0.275,0.4,0.4666666666666667,0.32222222222222224,0.18888888888888888,0.022222222222222223,0.0,120,0.0,True
ME5 BM4,20.011111111111113,22.0,5.262746846423271,-0.0006373874174673822,0.0010512711514905064,16.0,19.0,0.4875,0.2875,0.225,0.6555555555555556,0.1111111111111111,0.16666666666666666,0.06666666666666667,0.0,120,0.0,True
