portfolio,window_end,forward_start,forward_end,forward_months,posterior_alpha,performance_rank,quintile,forward_alpha_monthly,forward_alpha_annualized_bps
ME5 BM2,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,0.0008053920758424631,10,4,-0.0024604010792736034,-295.2481295128324
ME3 BM5,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,0.0007554988119594132,11,3,0.015218808849118005,1826.2570618941606
ME4 BM5,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,0.0005650435861418995,12,3,0.005475767501133703,657.0921001360445
ME3 BM1,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,0.00041026030185406656,13,3,0.004173730651351324,500.8476781621589
SMALL HiBM,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,0.00016793655516938327,14,3,0.005581424838250744,669.7709805900893
ME2 BM5,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-7.983090209461388e-05,15,3,0.0015173658355333566,182.08390026400278
BIG HiBM,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.00012298929372557804,16,2,0.0048778735493482505,585.3448259217901
ME4 BM2,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0003466109063964284,17,2,-0.0015990767911159313,-191.88921493391177
ME3 BM3,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0005388308165717304,18,2,-0.00032268982076165756,-38.722778491398905
ME4 BM4,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0005898101314815071,19,2,0.00041236245368181406,49.48349444181769
ME4 BM3,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0006933860396355712,20,2,-0.0016990956154045202,-203.89147384854243
ME1 BM2,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0010170303397401311,21,1,0.006994748421545835,839.3698105855002
ME5 BM3,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0018398897382529854,22,1,-0.0015583369182909574,-187.00043019491488
ME5 BM4,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0024352636949106538,23,1,-0.001594095161372231,-191.29141936466772
ME2 BM1,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.0025751781992295834,24,1,-0.0002857917684756818,-34.29501221708181
SMALL LoBM,1991-06-30 23:59:59.999999999,1991-07-31 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,-0.006567452640098502,25,1,-0.001089347657228508,-130.72171886742098
BIG LoBM,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0028882295672333,1,5,-0.005592781225950821,-671.1337471140985
ME2 BM4,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.002783049713297085,2,5,0.004431347784582589,531.7617341499108
ME2 BM3,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0026101045134490604,3,5,0.004082558486331187,489.90701835974244
ME4 BM1,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0021023632187196343,4,5,0.007533231012025294,903.9877214430353
ME1 BM4,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.001404619437909045,5,5,0.00015270994492276214,18.325193390731457
ME3 BM2,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0013317825918645549,6,4,0.010134377156389889,1216.1252587667868
ME3 BM4,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0012551246155805705,7,4,0.0023917746915850355,287.0129629902043
ME3 BM5,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0010472869914946508,8,4,-0.0009238339952158573,-110.86007942590287
ME4 BM5,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0006686674142702604,9,4,-0.0009602436304531938,-115.22923565438326
ME3 BM1,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0005158016663101471,10,4,0.004685105443526772,562.2126532232126
SMALL HiBM,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0002345949224607041,11,3,0.0023440922371680967,281.2910684601716
ME2 BM2,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.0002176243201500828,12,3,-0.0001969167779437112,-23.630013353245346
ME1 BM3,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,0.00015816426490008418,13,3,0.00028139966036303725,33.76795924356447
ME5 BM2,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-1.1567430179070377e-05,14,3,0.009403639328940295,1128.4367194728354
ME4 BM4,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-7.100597372380898e-05,15,3,0.0019679252834726942,236.15103401672332
ME2 BM5,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0003138177569787414,16,2,0.0008260605507860987,99.12726609433184
ME4 BM2,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0005334775449462741,17,2,0.004468492357682299,536.2190829218758
ME3 BM3,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0005440999780105209,18,2,0.0017958010848821715,215.49613018586058
ME4 BM3,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.000544393293477835,19,2,0.002079837121887377,249.58045462648525
BIG HiBM,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0005538753545638715,20,2,-0.0029532859601732763,-354.3943152207932
ME1 BM2,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0005605463165946152,21,1,-0.005422748789652922,-650.7298547583507
ME5 BM3,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0015009363029689605,22,1,-0.0010440186449047798,-125.28223738857359
ME5 BM4,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0015086616285659344,23,1,0.0006763234776018933,81.1588173122272
ME2 BM1,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.002590545281553249,24,1,-0.004368569209013914,-524.2283050816698
SMALL LoBM,1992-06-30 23:59:59.999999999,1992-07-31 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,-0.0034691355101437804,25,1,-0.012316332384836226,-1477.9598861803472
ME2 BM3,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0030193147007060582,1,5,0.003602718010801073,432.32616129612876
ME2 BM4,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0028619800445525718,2,5,-0.001986732337583702,-238.40788051004424
ME4 BM1,1993-06-30 23:59:59.999999999,1993-07-31 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,0.0024355365406586124,3,5,-0.0014599107600770042,-175.1892912092405
