portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,bootstrap_replicates,bootstrap_posterior_alpha_median,bootstrap_posterior_alpha_ci_low,bootstrap_posterior_alpha_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_top_quintile_probability,bootstrap_bottom_quintile_probability,bootstrap_block_length_months,bootstrap_random_seed
ME2 BM3,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00022044428862255197,0.0005017085272148268,0.4393871673784803,0.6603810232795386,12,0.9341875735938378,0.01849269625859438,0.00022044428862255197,0.0005017085272148268,0.4393871673784803,0.6603810232795386,0.9902174689234707,0.023308797157657775,42.4825640819543,0.0,0.8311394221559191,0.07428461883615455,11.188580289940198,4.6380017111927816e-29,0.3433216093807043,0.052824295826009685,6.499312560862557,8.068786442373013e-11,-0.0002130229554029507,0.0007837112125998519,0.7418815343274592,-5.461859477266101e-05,0.00041769363061960565,-0.000873298110787088,0.000764060921241766,0.4479816594042773,-6.554231372719322,6.554231372719322,0.8254762790994233,11,5000,7.216598361929867e-05,-0.0007883272513003277,0.0009519907995675886,10.0,3.0,19.0,0.1326,0.0062,12,2026
ME2 BM4,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00020498080346319157,0.0004434773668402668,0.4622125474489486,0.643928906099307,12,0.9514991477209336,0.016347320580378397,0.00020498080346319157,0.0004434773668402668,0.4622125474489486,0.643928906099307,0.9686510498876327,0.01734920059209293,55.832604202472886,0.0,0.8292512860619831,0.06183708600974895,13.41025814074174,5.265522717300994e-41,0.5838821527756692,0.04158074494053275,14.042128240143748,8.608795198083837e-45,-0.0002130229554029507,0.0007837112125998519,0.7914325079573795,-0.0001411904465846162,0.00037107974868051837,-0.0008685067539984322,0.0005861258608291998,0.35179254612779576,-16.942853590153945,16.942853590153945,0.8254762790994233,12,5000,-3.417308486393096e-05,-0.0008123471939302296,0.0007579092644434484,11.0,4.0,19.0,0.0578,0.0068,12,2026
ME5 BM2,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-4.539148664726002e-05,0.0004121444547057805,-0.11013489597879912,0.9123023934948803,12,0.9277118952276973,0.014103666971547447,-4.539148664726002e-05,0.0004121444547057805,-0.11013489597879912,0.9123023934948803,0.9777888638983169,0.016987151977726416,57.560494259449456,0.0,-0.19067786450903149,0.029014830255006032,-6.571738067505432,4.973129232981216e-11,0.02580348181829084,0.030761581586617584,0.8388216888534854,0.4015693779068341,-0.0002130229554029507,0.0007837112125998519,0.8131438417751737,-0.00023836486771433376,0.0003540582504607629,-0.000932319038617429,0.0004555893031887615,0.2503984843582538,-28.60378412572005,28.60378412572005,0.9123023934948803,13,5000,-0.00018041468683523696,-0.0009117718235885908,0.000546199014241782,13.0,5.0,20.0,0.0254,0.0112,12,2026
ME4 BM3,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.00012569055252948267,0.0005282390531929753,-0.237942559850011,0.8119256453101037,12,0.9152422117983325,0.018301905083414303,-0.00012569055252948267,0.0005282390531929753,-0.237942559850011,0.8119256453101037,1.009760520330716,0.016469796499694263,61.30983587741723,0.0,0.20798926048102317,0.05469306197414108,3.802845424514002,0.00014304361408657806,0.3477515098417601,0.0488250700369774,7.122396538876287,1.0606636907685298e-12,-0.0002130229554029507,0.0007837112125998519,0.7384588277775455,-0.00023924930793765977,0.0004310586396691391,-0.0010841242416891725,0.0006056256258138528,0.28943799770442,-28.709916952519176,28.709916952519176,0.8741409651043196,14,5000,-0.0002686287778211903,-0.001137842846650505,0.0005453190957935435,14.0,6.0,21.0,0.0204,0.0262,12,2026
ME3 BM3,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00042934962903367724,0.0005236118777256212,0.8199768708429901,0.4122292925980393,12,0.9261318935933296,0.017538755474731514,0.00042934962903367724,0.0005236118777256212,0.8199768708429901,0.4122292925980393,0.9841468219062522,0.024684933473776597,39.86831979724536,0.0,0.45203150284600385,0.057679081269485365,7.837009413066836,4.614034747917995e-15,0.3232945783269201,0.04676357245172765,6.913384957076268,4.732234723598261e-12,-0.0002130229554029507,0.0007837112125998519,0.7756618275866584,-0.0002905584715823631,0.0003980672329392958,-0.001070770248143383,0.0004896533049786566,0.2327185934764321,-34.867016589883576,34.867016589883576,0.7323663966294698,15,5000,-0.0001200140084659211,-0.0009674230280463308,0.0007591757211999518,12.0,4.0,20.0,0.0486,0.0138,12,2026
ME3 BM5,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.000629352453346322,0.0005974435171744754,-1.053409126142594,0.292153523313197,12,0.923517889613608,0.02311768303693874,-0.000629352453346322,0.0005974435171744754,-1.053409126142594,0.292153523313197,1.1127230021919916,0.017788734620072744,62.552116603976934,0.0,0.5893493432424275,0.07451126793364429,7.9095331429237,2.5835591564421587e-15,0.8646763716853417,0.05651782704387777,15.299179337062053,7.742677609364494e-53,-0.0002130229554029507,0.0007837112125998519,0.6682175238838083,-0.0003609050064012945,0.00047398418248888934,-0.0012899140040795176,0.0005681039912769285,0.22320062199272173,-43.30860076815534,43.30860076815534,0.561833698679225,16,5000,-0.00043775095216626634,-0.001394469535027464,0.0004901120577104571,16.0,6.0,22.0,0.0144,0.0956,12,2026
ME4 BM2,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.00011636091007066879,0.0005733520580893171,-0.2029484475183344,0.8391753265001468,12,0.923003629571338,0.016897422332293074,-0.00011636091007066879,0.0005733520580893171,-0.2029484475183344,0.8391753265001468,1.0287182044345595,0.02312766985845915,44.47997618135736,0.0,0.2414170559635592,0.04899158934856937,4.9277245170779285,8.319280141904075e-07,0.10626185881104987,0.04492647476282161,2.365239190745178,0.01801842945029561,-0.0002130229554029507,0.0007837112125998519,0.7171923816138811,-0.0006405296381400609,0.00045697912861144115,-0.0015362087302184856,0.00025514945393836377,0.08050831119193358,-76.86355657680731,76.86355657680731,0.8741409651043196,17,5000,-0.000531309537639482,-0.001407549462249218,0.0003300529254267159,17.0,9.0,23.0,0.0028,0.1306,12,2026
BIG HiBM,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0016537288254573584,0.0011427627884553792,-1.4471321976563736,0.14785990177757363,12,0.835438251632391,0.03426134672513969,-0.0016537288254573584,0.0011427627884553792,-1.4471321976563736,0.14785990177757363,1.1759600685811493,0.03584225175112607,32.80932450189053,4.335183199453281e-236,-0.14235027301157743,0.076850490479605,-1.8523014247951366,0.063982551241655,0.99638828681976,0.05244732367294388,18.99788620355797,1.775525614248183e-80,-0.0002130229554029507,0.0007837112125998519,0.3971179381216256,-0.0006798029576637161,0.0006252963367286294,-0.0019053837776518297,0.0005457778623243975,0.1384810060070789,-81.57635491964594,81.57635491964594,0.33604523131266734,18,5000,-0.0007442478185916313,-0.0018015158426216446,0.000125881742201541,19.0,10.0,24.0,0.0032,0.263,12,2026
ME3 BM1,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.001180649065118598,0.00047698322014885433,-2.4752423465759392,0.013314579338387898,12,0.9267695533043344,0.019858350547822954,-0.001180649065118598,0.00047698322014885433,-2.4752423465759392,0.013314579338387898,1.1238691180534537,0.019082396000701447,58.895597702308535,0.0,0.8108561174315059,0.04176611504617511,19.41420973760793,5.852948560483425e-84,-0.21840893470248265,0.047837914768820766,-4.565603157201883,4.980601969083046e-06,-0.0002130229554029507,0.0007837112125998519,0.745562158027542,-0.0006802997279273364,0.0004114940811772126,-0.001486828127034673,0.0001262286711800003,0.04914070457256206,-81.63596735128037,81.63596735128037,0.05547741390994957,19,5000,-0.0007542809517996011,-0.0016364711181439098,8.18303276034576e-05,19.0,11.0,23.0,0.0008,0.2436,12,2026
ME1 BM3,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0012032903699126267,0.0005809097769835497,-2.0713894267038677,0.03832241818816138,12,0.88894080816051,0.029448605960577152,-0.0012032903699126267,0.0005809097769835497,-2.0713894267038677,0.03832241818816138,1.0493270119369331,0.03854305958505288,27.22479801120577,3.304524264235697e-163,1.2376463465285843,0.04723503769643049,26.20187062160664,2.5301118988751577e-151,0.492636450658873,0.038393540137334564,12.831232777615746,1.0960614697607726e-37,-0.0002130229554029507,0.0007837112125998519,0.6821733715385,-0.0006944191775719022,0.00046086414638892145,-0.0015977129044941881,0.00020887454935038382,0.06593400200318715,-83.33030130862825,83.33030130862825,0.1064511616337816,20,5000,-0.0006865606099385563,-0.001638591186576307,0.00013290374631233834,18.0,9.0,23.0,0.001,0.2168,12,2026
ME4 BM5,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0017549652967889487,0.0007421557898579219,-2.3646858527168786,0.018045370575007456,12,0.9101464105271531,0.02561859976691595,-0.0017549652967889487,0.0007421557898579219,-2.3646858527168786,0.018045370575007456,1.1851195702571837,0.02223479954845998,53.300213823572214,0.0,0.3197567994664488,0.04014117882506448,7.965804912206266,1.641517397131939e-15,0.9466193011960145,0.04985883515874521,18.9859891066865,2.2270290316476664e-80,-0.0002130229554029507,0.0007837112125998519,0.5640470383124235,-0.0007634247916883856,0.0005373676649655455,-0.0018166654150208548,0.0002898158316440836,0.07770563607895932,-91.61097500260628,91.61097500260628,0.0628030385259077,21,5000,-0.0010038525875926691,-0.00206765513455946,-0.00011407522516393216,21.0,13.0,24.0,0.0004,0.5076,12,2026
ME1 BM2,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.003963137915535806,0.0011822887116252662,-3.352089787009611,0.0008020400265093652,12,0.8227539473249504,0.04058424707682391,-0.003963137915535806,0.0011822887116252662,-3.352089787009611,0.0008020400265093652,1.0708113660894525,0.02515681237635506,42.565462987509115,0.0,1.5297170589151574,0.16856110983099462,9.075148238219992,1.1352286523893273e-19,0.2055286468648379,0.06186574408842256,3.322172066193578,0.0008931959493494499,-0.0002130229554029507,0.0007837112125998519,0.3593720103561701,-0.0009586482530357337,0.0006645302373959907,-0.0022611275183318756,0.0003438310122604079,0.07456724222397598,-115.03779036428804,115.03779036428804,0.005012750165683533,22,5000,-0.0014532007763270005,-0.0033871048312734456,-0.0002667435370407231,23.0,15.0,25.0,0.0,0.814,12,2026
ME2 BM1,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.002176897980685202,0.000615030317586076,-3.5394970271210027,0.000400890285752118,12,0.9099281362573596,0.023882668162913786,-0.002176897980685202,0.000615030317586076,-3.5394970271210027,0.000400890285752118,1.0860005640793624,0.025722765778205668,42.219432134296646,0.0,1.1516290073030369,0.06476068074859884,17.78284282979767,9.598712229916787e-71,-0.22902413813933564,0.028794377106266502,-7.953779909671783,1.8090538800392417e-15,-0.0002130229554029507,0.0007837112125998519,0.6750027219904017,-0.0009590707795635726,0.00048334775882842335,-0.0019064323868672824,-1.170917225986278e-05,0.023615372989282905,-115.0884935476287,115.0884935476287,0.00334075238126765,23,5000,-0.0012397236315156673,-0.0023663156229032723,-0.00024640503567515965,22.0,15.0,25.0,0.0,0.7324,12,2026
ME5 BM4,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0024095272589464466,0.0006306715413684997,-3.820573945223519,0.00013314147885254546,12,0.9229393539708582,0.018098938023695648,-0.0024095272589464466,0.0006306715413684997,-3.820573945223519,0.00013314147885254546,1.0315805447325634,0.020516434413743213,50.28069322033585,0.0,-0.17963042114746738,0.033546609409517716,-5.354652059009675,8.572120705066566e-08,0.6554411425794239,0.032316552392048455,20.28190181390439,1.8580660268183342e-91,-0.0002130229554029507,0.0007837112125998519,0.6968038931159615,-0.0013673836572450893,0.0004417595934537,-0.002233232460414341,-0.0005015348540758374,0.0009830306806214218,-164.0860388694107,164.0860388694107,0.0016642684856568181,24,5000,-0.0016116584270969973,-0.0026421399749409764,-0.000679530532783085,23.0,19.0,25.0,0.0,0.9264,12,2026
SMALL LoBM,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.006749609404761478,0.0014447859077525076,-4.671702131467418,2.9871393920587704e-06,12,0.6630176752105428,0.06907796927586903,-0.006749609404761478,0.0014447859077525076,-4.671702131467418,2.9871393920587704e-06,1.2687695034411488,0.08849915063084818,14.336516163115506,1.2938958265722137e-46,1.4749186086661326,0.186647073130731,7.902179144449121,2.7406912984609187e-15,0.35016304128449605,0.2089052551900735,1.6761811040411523,0.09370272426772333,-0.0002130229554029507,0.0007837112125998519,0.2732812497324674,-0.0015381192693116727,0.0007087834514775648,-0.0029273348342076996,-0.00014890370441564575,0.015000260662758924,-184.5743123174007,184.5743123174007,7.467848480146927e-05,25,5000,-0.0022192087768039934,-0.004653720447743861,-0.0007708041968082473,25.0,21.0,25.0,0.0,0.9894,12,2026
