portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,sensitivity_model,common_sample_start,common_sample_end,coef_rmw,hac_se_rmw,hac_t_rmw,p_value_rmw,coef_cma,hac_se_cma,hac_t_cma,p_value_cma
ME3 BM4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.00023787826945762794,0.0006175809760449986,0.3851774563734222,0.7001059444671638,12,0.918136109514281,0.014742086609294713,0.00023787826945762794,0.0006175809760449986,0.3851774563734222,0.7001059444671638,0.9964310629305234,0.016717430767381504,59.60431819910549,0.0,0.443157840493889,0.04981249690953378,8.896519307167507,5.762544239892015e-19,0.6191744517674417,0.05554911443926386,11.146432450231641,7.453515477939391e-29,5.742738144863326e-05,0.0006831291107114308,0.6697987823170128,0.00016644943068372682,0.0004399986576118335,-0.0006959479382354669,0.0010288467996029205,0.6473943872282324,19.97393168204722,0.0,0.8546245534965038,11,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME5 BM3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.00041139207374171923,0.0006437325795112167,-0.6390729424539727,0.5227754809812881,12,0.8530534624301195,0.016642497004994695,-0.00041139207374171923,0.0006437325795112167,-0.6390729424539727,0.5227754809812881,0.9471368052830278,0.02260964323632385,41.89083372007354,0.0,-0.21411253188745025,0.03969597603262006,-5.393809481129872,6.897935706732366e-08,0.3025783755532506,0.03817784998221341,7.925495429790263,2.27238508318094e-15,5.742738144863326e-05,0.0006831291107114308,0.6452189760786898,4.293226994727742e-05,0.0004449726159574954,-0.0008292140573294137,0.0009150785972239685,0.5384314920289196,5.1518723936732895,0.0,0.768787472031306,12,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME2 BM4,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.0004251488098566566,0.0005017140052149681,0.8473927485330894,0.3967762450152744,12,0.9456805552771881,0.012563451635323585,0.0004251488098566566,0.0005017140052149681,0.8473927485330894,0.3967762450152744,0.9519543453246072,0.013308737392794581,71.52852424903959,0.0,0.7415123993797885,0.03630703162333836,20.423382640379234,1.0363389808400032e-92,0.5671763640210822,0.031112617275016245,18.22978629562389,2.9948905213329674e-74,5.742738144863326e-05,0.0006831291107114308,0.7403182437789062,2.156175568521003e-05,0.0003607932204076366,-0.0006855929563137577,0.0007287164676841779,0.5238274389582391,2.5874106822252037,0.0,0.7630312404139892,13,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME3 BM3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.0002574921077732489,0.0006645614035611664,-0.3874617249714371,0.6984144153311735,12,0.9049860006221768,0.01568016964863775,-0.0002574921077732489,0.0006645614035611664,-0.3874617249714371,0.6984144153311735,0.9838657368792174,0.023938231957882,41.10018394885115,0.0,0.44794252858728295,0.07357941234766281,6.087878583084545,1.14416585917556e-09,0.41801323275594193,0.062074135339351064,6.73409674529849,1.6495140149584127e-11,5.742738144863326e-05,0.0006831291107114308,0.6904882270332494,-4.799859201942734e-05,0.0004163886680289429,-0.0008641203813561554,0.0007681231973173007,0.4541141588555585,-5.759831042331281,5.759831042331281,0.8546245534965038,14,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
BIG HiBM,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.0015919609140226095,0.0010309575482040224,-1.5441575812659618,0.12255016222318547,12,0.8057035526884802,0.024804196894340713,-0.0015919609140226095,0.0010309575482040224,-1.5441575812659618,0.12255016222318547,1.1244011571547754,0.037289600085276174,30.15321040138336,9.735609558170609e-200,-0.10735904735925546,0.05443869868068183,-1.9721089952753224,0.048597165316438505,0.8286298376549488,0.03257074818594754,25.440921188677404,8.89726063118219e-143,5.742738144863326e-05,0.0006831291107114308,0.43148201843305795,-7.374107958454324e-05,0.0005489278806544509,-0.001149639725667267,0.0010021575664981807,0.44656822485595926,-8.84892955014519,8.84892955014519,0.3404171172866263,15,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME2 BM5,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.00017990382007401697,0.0005019878667214123,-0.3583828056423085,0.7200568573897421,12,0.9548988836777971,0.013260612068934214,-0.00017990382007401697,0.0005019878667214123,-0.3583828056423085,0.7200568573897421,1.078462223517611,0.01742383620173172,61.895796713838756,0.0,0.8953014891460636,0.022275508391937357,40.19219105545169,0.0,0.7981657076525324,0.025603333963517817,31.17428803568467,2.3776109695657857e-213,5.742738144863326e-05,0.0006831291107114308,0.6862606434503707,-7.545283598441868e-05,0.0003981551606935011,-0.0008558369509436809,0.0007049312789748436,0.4248480830879524,-9.05434031813024,9.05434031813024,0.8546245534965038,16,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME1 BM3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.00026578721249460055,0.0005294368406712522,-0.5020187340148436,0.6156543430578633,12,0.9444488042224388,0.014353648210281294,-0.00026578721249460055,0.0005294368406712522,-0.5020187340148436,0.6156543430578633,0.9357918529514884,0.01563523667737514,59.851467058737875,0.0,1.0969158324672752,0.03035340379581075,36.13814911323609,5.71172598679e-286,0.2886842209067778,0.02875911222332483,10.038008776663244,1.0374725047361867e-23,5.742738144863326e-05,0.0006831291107114308,0.6868908077550707,-0.00010426178788457523,0.0004030296748388909,-0.0008941999505688013,0.0006856763747996509,0.397935263814473,-12.511414546149028,12.511414546149028,0.8546245534965038,17,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME4 BM3,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.00040620196756890664,0.0006258451171830139,-0.6490455168800531,0.5163089561447196,12,0.8853558723064883,0.016908547613868063,-0.00040620196756890664,0.0006258451171830139,-0.6490455168800531,0.5163089561447196,1.0368074959479057,0.018587130072397737,55.78093508301132,0.0,0.17042965815923555,0.06327461537533995,2.6934918078641883,0.007070788305730672,0.4309349281391452,0.07016039987275188,6.142138997507438,8.141756208518689e-10,5.742738144863326e-05,0.0006831291107114308,0.6550155074422712,-0.00012246422244132886,0.00045508302164088256,-0.0010144269448574587,0.0007694984999748009,0.39392519736366294,-14.695706692959462,14.695706692959462,0.768787472031306,18,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME3 BM5,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,0.00010126367168124716,0.0007577222229795641,0.13364220899190685,0.8936855056009226,12,0.9060471373518578,0.0181464997216242,0.00010126367168124716,0.0007577222229795641,0.13364220899190685,0.8936855056009226,1.0890092936978544,0.026056586243239525,41.79401259750217,0.0,0.5804481814358353,0.07983595962383597,7.270510483881448,3.581315138494588e-13,0.8496511616457154,0.058575661268291335,14.50519111946681,1.1232419162476898e-47,5.742738144863326e-05,0.0006831291107114308,0.5580809252219864,-0.00015948759385843328,0.00048364738335033257,-0.001107436465225085,0.0007884612775082185,0.3707906312465653,-19.138511263011992,19.138511263011992,0.9548935414698557,19,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
ME4 BM5,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,749,-0.0011164311320307322,0.0006628100765441069,-1.6843907048785476,0.09210618598731675,12,0.876984106306729,0.020453193156111143,-0.0011164311320307322,0.0006628100765441069,-1.6843907048785476,0.09210618598731675,1.1405099350746672,0.028022443463711275,40.69987460414056,0.0,0.30047521102024516,0.0528091901726629,5.68982804011618,1.271673686029175e-08,0.8448218627377574,0.04274399398207506,19.76469169193778,5.996356883460775e-87,5.742738144863326e-05,0.0006831291107114308,0.5832489964587082,-0.00018957429949155222,0.0004942724377525099,-0.0011583482774864718,0.0007791996785033673,0.3506589224801303,-22.74891593898627,22.74891593898627,0.2878318312103648,20,ff3_common_sample,1963-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,,,,,,,,
