portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,window_start,window_end,window_length,rolling_step_months,rank,quintile,sensitivity_window
ME4 BM2,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0012985948848616901,0.0015930859958021232,-0.8151442472556819,0.4149897467024981,12,0.8969649135519543,0.014571892930833824,-0.0012985948848616901,0.0015930859958021232,-0.8151442472556819,0.4149897467024981,1.0274464138313797,0.06602162712300745,15.562270404470713,1.313554563072575e-54,0.17128526859434484,0.0576584416206106,2.970688485155262,0.0029713300896730393,0.04974666100099345,0.07809130785365569,0.6370319868917993,0.5241040084754272,-2.8633654661290363e-05,0.000709103114605066,0.16536288456197687,-0.00023863810696910518,0.0006881036516360616,-0.0015873212641757861,0.0011100450502375756,0.36436873553919225,-28.63657283629262,28.63657283629262,0.7877537805785971,19,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,19,2,120
ME5 BM4,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0007872859585772401,0.001022096201663051,-0.7702660055836706,0.4411421171240144,12,0.8993225559197694,0.012399392525899422,-0.0007872859585772401,0.001022096201663051,-0.7702660055836706,0.4411421171240144,0.9925484044081775,0.03612918891902875,27.47220278408785,3.773020457327407e-166,-0.16466566752327463,0.052940280572154864,-3.1104041335565618,0.0018683153112170827,0.561924517446255,0.05370506758057631,10.463156323249617,1.2753506435066408e-25,-2.8633654661290363e-05,0.000709103114605066,0.32492708828607525,-0.00027514033879422255,0.0006120834137740882,-0.0014748238297914353,0.0009245431522029901,0.3265302934517239,-33.0168406553067,33.0168406553067,0.7877537805785971,20,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,20,2,120
ME2 BM2,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0011799463886243435,0.0010502819139150278,-1.12345682905838,0.26124352573613707,12,0.9510965772244268,0.012978580448280807,-0.0011799463886243435,0.0010502819139150278,-1.12345682905838,0.26124352573613707,1.005234097883895,0.019942444382060383,50.40676451820384,0.0,0.9314291313436835,0.07021350670115725,13.265668887726012,3.6613922057909223e-40,0.02114642014708208,0.0748950420467941,0.28234739669242576,0.7776771459860271,-2.8633654661290363e-05,0.000709103114605066,0.3131086468990049,-0.00038911962695005594,0.000617925604097797,-0.0016002538109817382,0.0008220145570816263,0.26443915394957446,-46.694355234006714,46.694355234006714,0.6434901235124463,21,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,21,1,120
ME1 BM2,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0019417888744556963,0.0013255481633501292,-1.464894998268572,0.14294956765291303,12,0.9357854415244502,0.01735909718193379,-0.0019417888744556963,0.0013255481633501292,-1.464894998268572,0.14294956765291303,0.975584829238949,0.04176219539258122,23.36047758189109,1.0785242037904461e-120,1.3735799322177746,0.052274793429027265,26.27614270886913,3.5937649814075403e-152,0.11676331616463104,0.06565978141039035,1.7783080244332614,0.07535327915280389,-2.8633654661290363e-05,0.000709103114605066,0.22249926055771985,-0.0004543092763976877,0.0006615451621564739,-0.0017509377942243765,0.0008423192414290012,0.2461234110566098,-54.51711316772252,54.51711316772252,0.5105341701889751,22,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,22,1,120
ME2 BM1,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0024443823866518075,0.0013763683877633863,-1.7759652200556246,0.07573864987918383,12,0.9311191983418206,0.017910124318646012,-0.0024443823866518075,0.0013763683877633863,-1.7759652200556246,0.07573864987918383,1.0936223235645808,0.03778792800908281,28.941050255566136,3.6372191958824075e-184,1.0552414594368544,0.06585487446628716,16.02374111239192,8.723979596131546e-58,-0.4233642067219094,0.08719619488566345,-4.855305982985247,1.2020099225029092e-06,-2.8633654661290363e-05,0.000709103114605066,0.20975455802631782,-0.000535347962242599,0.0006675280660078032,-0.0018437029716178931,0.0007730070471326951,0.21128061555733985,-64.24175546911188,64.24175546911188,0.47336656174489894,23,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,23,1,120
BIG HiBM,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0016362935085728466,0.0008979640392649359,-1.8222260992904566,0.06842068600877015,12,0.8915065013015934,0.014742816371745215,-0.0016362935085728466,0.0008979640392649359,-1.8222260992904566,0.06842068600877015,1.0743781407008024,0.04262486141662096,25.20543422299231,3.4922177330166976e-140,0.01370969441510459,0.06444010146348697,0.21275097499455012,0.8315212045210513,0.6743096438010631,0.08071443056398743,8.354263780210841,6.584206570859579e-17,-2.8633654661290363e-05,0.000709103114605066,0.38408191183928353,-0.0006461067249389042,0.0005822392920314005,-0.001787295737320449,0.0004950822874426407,0.13356572264269428,-77.53280699266851,77.53280699266851,0.47336656174489894,24,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,24,1,120
ME5 BM2,ff3,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,-0.0017046671893874994,0.0007304092671449752,-2.333852082751777,0.019603468537215812,12,0.9270251780734157,0.00989030420835383,-0.0017046671893874994,0.0007304092671449752,-2.333852082751777,0.019603468537215812,0.9573733576283395,0.029168003157858936,32.82272538325572,2.791537735604345e-236,-0.22696826376729845,0.0362572020367975,-6.259949775963075,3.851014778517257e-10,0.032546122453551936,0.06674468212390584,0.4876212069320042,0.6258181714860656,-2.8633654661290363e-05,0.000709103114605066,0.4852022904890055,-0.0008418489646468311,0.0005285118420783349,-0.0018777321751203674,0.00019403424582670507,0.05559503822959001,-101.02187575761972,101.02187575761972,0.47336656174489894,25,1961-07-31 23:59:59.999999999,1971-06-30 23:59:59.999999999,120,120,25,1,120
SMALL HiBM,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.001215384130704789,0.0010543539578605524,1.1527287602457448,0.24902173285921758,12,0.9740246760778988,0.012060044752342607,0.001215384130704789,0.0010543539578605524,1.1527287602457448,0.24902173285921758,1.011353921509577,0.03656076518963919,27.662274470015213,1.986586198732075e-168,1.163426921821851,0.050082838482915046,23.23005159179896,2.263460577792658e-119,0.664002405678227,0.06358502782165046,10.442747741507423,1.5816510984000663e-25,7.381900024852769e-05,4.881783487513789e-08,2.1437994833599416e-09,7.381900269581443e-05,0.0002386459263531172,-0.0003939270129562953,0.0005415650183479241,0.6214626055909013,8.858280323497732,0.0,0.9568118550620255,1,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,1,5,120
ME2 BM5,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0015494669856945765,0.0012219949622990275,1.2679814839657377,0.2048045629560773,12,0.9670046267090682,0.012706545134978315,0.0015494669856945765,0.0012219949622990275,1.2679814839657377,0.2048045629560773,1.0810259369491837,0.04828855300088148,22.386795001487208,5.2930889317201364e-111,0.8499062555063102,0.03675812226130377,23.121590636881596,2.808482012274939e-118,0.7181242379892573,0.047845290948863466,15.009298172243968,6.381938978356208e-51,7.381900024852769e-05,4.881783487513789e-08,1.595946013996623e-09,7.38190026035822e-05,0.0002386459264838602,-0.0003939270133047838,0.0005415650185119482,0.6214626053794717,8.858280312429864,0.0,0.9568118550620255,2,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,2,5,120
ME4 BM3,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0014578892131727,0.0011854353066540256,1.229834479359059,0.21875909381391023,12,0.92102734644268,0.015100082107820949,0.0014578892131727,0.0011854353066540256,1.229834479359059,0.21875909381391023,1.030519711715059,0.04113764382247392,25.050528322968162,1.7228582413001784e-138,0.1958637020118476,0.06349397406099706,3.084760481737783,0.002037161366042846,0.4803230589293081,0.07149976048669943,6.7178275236133,1.8445383358648478e-11,7.381900024852769e-05,4.881783487513789e-08,1.695904183122052e-09,7.381900259577814e-05,0.0002386459264600056,-0.00039392701326583285,0.0005415650184573891,0.6214626053787939,8.858280311493377,0.0,0.9568118550620255,3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,3,5,120
ME3 BM3,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0006836540769883681,0.0008244912376149064,0.8291829504047211,0.40700089110067206,12,0.9478795057310524,0.01271625116670463,0.0006836540769883681,0.0008244912376149064,0.8291829504047211,0.40700089110067206,0.9446339610434011,0.03981490300813711,23.725637629968432,1.9610789568550783e-124,0.5153596726768572,0.043565963805283964,11.829410568769537,2.750665209261767e-32,0.38671393329536774,0.04558534734641241,8.48329465072733,2.1890538354094598e-17,7.381900024852769e-05,4.881783487513789e-08,3.505782248427269e-09,7.381900238647667e-05,0.00023864592602808557,-0.000393927012628571,0.0005415650174015244,0.6214626052581617,8.8582802863772,0.0,0.9568118550620255,4,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,4,5,120
ME5 BM3,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0015238160108748146,0.0017975950718205108,0.8476970340887579,0.39660671854808416,12,0.8107921653568975,0.020057816417276206,0.0015238160108748146,0.0017975950718205108,0.8476970340887579,0.39660671854808416,0.9525632543425167,0.0685556748448991,13.894739662290586,6.817092449335757e-44,-0.2949108405178464,0.08367350606207505,-3.524542646737669,0.0004242145229736769,0.21846382815856955,0.1121407838061379,1.948121109410439,0.05140047352434803,7.381900024852769e-05,4.881783487513789e-08,7.375191310223029e-10,7.381900131792822e-05,0.00023864592668872026,-0.0003939270149919635,0.0005415650176278199,0.6214626032296713,8.858280158151386,0.0,0.9568118550620255,5,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,5,5,120
ME5 BM4,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0004812312035020995,0.0010152842400347423,0.47398667735217886,0.6355094076758183,12,0.8878774906750978,0.015331360278924126,0.0004812312035020995,0.0010152842400347423,0.47398667735217886,0.6355094076758183,0.9768990086615527,0.030033632759899277,32.52683471464372,4.4524457499939526e-232,-0.1936350134250473,0.051241752728670646,-3.7788522662439132,0.00015755285628651198,0.602592733965052,0.06297762923313124,9.568361675450943,1.086130939733169e-21,7.381900024852769e-05,4.881783487513789e-08,2.3119675677654555e-09,7.381900119045148e-05,0.00023864592631298457,-0.0003939270143829983,0.0005415650167639013,0.6214626032117393,8.858280142854179,0.0,0.9568118550620255,6,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,6,4,120
ME5 BM2,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0009207305041031692,0.0015111453733643782,0.609293136406378,0.5423301556907203,12,0.9119622841338597,0.014567390184273723,0.0009207305041031692,0.0015111453733643782,0.609293136406378,0.5423301556907203,1.0005329553406113,0.061315363615966685,16.317818183501235,7.372379344981358e-60,-0.1194299689040039,0.07284038113238958,-1.6396120812017216,0.10108584953439757,0.039212627640064876,0.09180233317457481,0.42714195036303326,0.6692759394479065,7.381900024852769e-05,4.881783487513789e-08,1.0436251489605571e-09,7.381900113238583e-05,0.0002386459266156693,-0.00039392701503432597,0.0005415650172990976,0.6214626029700008,8.8582801358863,0.0,0.9568118550620255,7,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,7,4,120
ME2 BM4,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0003067644299488552,0.0009703177198382399,0.3161484364111123,0.7518898436927317,12,0.9668202816843281,0.010982620699967862,0.0003067644299488552,0.0009703177198382399,0.3161484364111123,0.7518898436927317,0.9643633560689323,0.02762664700148692,34.906999608639744,5.8218103027120385e-267,0.6882466509855972,0.03613592683158138,19.046049495099616,7.085162660736618e-81,0.513725861168446,0.04166604703724397,12.32960402289285,6.275434495159079e-35,7.381900024852769e-05,4.881783487513789e-08,2.531215388140462e-09,7.381900083816274e-05,0.000238645926260662,-0.0003939270146327348,0.0005415650163090603,0.6214626026761241,8.85828010057953,0.0,0.9568118550620255,8,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,8,4,120
ME2 BM1,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0005046196651528236,0.0014079988904465305,0.3583949309738372,0.7200477845606239,12,0.9594807937588327,0.015940230017102187,0.0005046196651528236,0.0014079988904465305,0.3583949309738372,0.7200477845606239,1.0858433440350104,0.05048866875863573,21.50667408613907,1.3483198653227318e-102,1.058846009963905,0.07270760688384034,14.563070569157176,4.8241337946798455e-48,-0.4559472498909691,0.0636049458867008,-7.168424460310772,7.586577471317039e-13,7.381900024852769e-05,4.881783487513789e-08,1.2021326768589433e-09,7.381900076640723e-05,0.00023864592657784215,-0.0003939270153261634,0.0005415650168589778,0.6214626024054242,8.858280091968869,0.0,0.9568118550620255,9,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,9,4,120
SMALL LoBM,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.0003659136501190467,0.0015634198285064801,0.23404695491715777,0.8149485260522722,12,0.9595342004814791,0.017113201930087026,0.0003659136501190467,0.0015634198285064801,0.23404695491715777,0.8149485260522722,1.0927772577291899,0.0386922053559243,28.242826886626947,1.7434664976361056e-175,1.3224788406522443,0.052774433140901585,25.059081868702975,1.3900461447361614e-138,-0.3374318975916368,0.08033972255747616,-4.200063018019925,2.6684070064025464e-05,7.381900024852769e-05,4.881783487513789e-08,9.75002650435071e-10,7.381900053332075e-05,0.00023864592663204578,-0.00039392701566548895,0.0005415650167321305,0.6214626020072587,8.858280063998489,0.0,0.9568118550620255,10,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,10,4,120
ME4 BM5,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,0.00010290501838536333,0.0014647102759273634,0.07025622751244118,0.9439897217587394,12,0.9127148090114094,0.0192081655755359,0.00010290501838536333,0.0014647102759273634,0.07025622751244118,0.9439897217587394,1.2092535652946281,0.04359138965973323,27.74065187491957,2.2592026697551614e-169,0.2809556121702619,0.0782545553271151,3.59027804829799,0.00033032540536414684,0.8453212426341754,0.06718547681825349,12.581904344013106,2.6555021010574177e-36,7.381900024852769e-05,4.881783487513789e-08,1.1108452716513287e-09,7.381900028083775e-05,0.0002386459265996275,-0.0003939270158544321,0.0005415650164161077,0.6214626016208822,8.85828003370053,0.0,0.9568118550620255,11,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,11,3,120
ME4 BM4,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,-6.679040584124272e-05,0.001233324493194767,-0.05415477127858772,0.9568118550620256,12,0.9139706745226994,0.015758941170285753,-6.679040584124272e-05,0.001233324493194767,-0.05415477127858772,0.9568118550620256,1.0198558976438516,0.034947285098704275,29.18269315523066,3.2158268684165393e-187,0.18973844801072762,0.04068393827825154,4.66371880502425,3.1054565823616958e-06,0.6831336593662426,0.05806501243192988,11.764979128646294,5.91409701744616e-32,7.381900024852769e-05,4.881783487513789e-08,1.5667594200570897e-09,7.381900002822657e-05,0.0002386459264908255,-0.00039392701589379135,0.0005415650159502445,0.6214626012719541,8.858280003387188,0.0,0.9568118550620255,12,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,12,3,120
ME1 BM2,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,-0.0001278210845747222,0.0012302702977363238,-0.10389674920211502,0.9172512869080879,12,0.9717933513951661,0.012789214929836094,-0.0001278210845747222,0.0012302702977363238,-0.10389674920211502,0.9172512869080879,0.9515563433012459,0.0285703768764405,33.30569797579084,3.1931230597220945e-243,1.3142372827365274,0.051356052868595355,25.590698843216476,1.9362986433108485e-144,0.0945156983244373,0.0634307076112434,1.4900621778288965,0.13620788784768126,7.381900024852769e-05,4.881783487513789e-08,1.5745481624482772e-09,7.381899993103567e-05,0.0002386459264889667,-0.0003939270159873391,0.0005415650158494105,0.621462601117987,8.858279991724281,0.0,0.9568118550620255,13,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,13,3,120
ME3 BM4,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,-0.0001056000009514146,0.0010519663528935762,-0.10038343969932828,0.920039916558657,12,0.9549521056335115,0.011477448864299059,-0.0001056000009514146,0.0010519663528935762,-0.10038343969932828,0.920039916558657,0.9687881434220289,0.022883283027678943,42.33606437722295,0.0,0.38583304920798295,0.0398522782360214,9.681580734805742,3.61089172488515e-22,0.6221624352638196,0.04035698888161575,15.416473143942609,1.2684499777921942e-53,7.381900024852769e-05,4.881783487513789e-08,2.153541914659259e-09,7.381899986214134e-05,0.00023864592635079222,-0.0003939270157854114,0.0005415650155096942,0.6214626010763087,8.858279983456962,0.0,0.9568118550620255,14,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,14,3,120
ME1 BM4,ff3,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,-4.588224952361216e-05,0.0008277721639034564,-0.05542859681008002,0.9557970138915622,12,0.9783645570369884,0.00978468528736037,-4.588224952361216e-05,0.0008277721639034564,-0.05542859681008002,0.9557970138915622,0.9013738987643766,0.03758269723162484,23.98374691441503,4.109700142910915e-127,1.0498327744313296,0.036780309104413204,28.543337454044455,3.398168371498568e-179,0.465418226978693,0.06004343257819736,7.751359424239398,9.091395364584218e-15,7.381900024852769e-05,4.881783487513789e-08,3.478046553186413e-09,7.381899983220117e-05,0.00023864592603470457,-0.0003939270151958198,0.0005415650148602221,0.621462601184408,8.85827997986414,0.0,0.9568118550620255,15,1971-07-31 23:59:59.999999999,1981-06-30 23:59:59.999999999,120,120,15,3,120
