portfolio,factor_model,sample_start,sample_end,n_obs,alpha,alpha_hac_se,alpha_hac_t_stat,alpha_p_value,hac_lags,r_squared,residual_volatility,coef_alpha,hac_se_alpha,hac_t_alpha,p_value_alpha,coef_mkt_rf,hac_se_mkt_rf,hac_t_mkt_rf,p_value_mkt_rf,coef_smb,hac_se_smb,hac_t_smb,p_value_smb,coef_hml,hac_se_hml,hac_t_hml,p_value_hml,prior_mean_alpha,prior_tau,shrinkage_weight,posterior_alpha,posterior_alpha_sd,posterior_alpha_ci_low,posterior_alpha_ci_high,posterior_probability_alpha_positive,posterior_alpha_annualized_bps,posterior_shortfall_annualized_bps,alpha_fdr_q_value,performance_rank,historical_anchor_start,historical_anchor_end
ME3 BM5,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.00039021885013877736,0.0008384434373215162,0.46540867608835607,0.6416388222124509,12,0.9297910775791582,0.015063067798239472,0.00039021885013877736,0.0008384434373215162,0.46540867608835607,0.6416388222124509,1.056913003855426,0.0156525618400633,67.52332395520195,0.0,0.6566478458290609,0.0317031782873724,20.712366434585782,2.6796396503713386e-95,0.7053605975956866,0.02690166282237677,26.219962767839334,1.5735961405134004e-151,0.0003074969276045431,0.00037676423921318043,0.24491710553634743,0.0002701648393943596,0.000347608677046423,-0.0004111481676166294,0.0009514778464053486,0.7814824730808252,32.41978072732315,0.0,0.7974394885570978,14,1963-07-01,1991-12-31
ME2 BM1,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0013696682528002244,0.0007907837986869662,-1.7320388392812929,0.08326664742512503,12,0.9568927433676084,0.015122436474917393,-0.0013696682528002244,0.0007907837986869662,-1.7320388392812929,0.08326664742512503,1.1039579946533218,0.025149323599754976,43.89613065633612,0.0,1.0000633616139367,0.03905620043564362,25.60575146734589,1.31636153859896e-144,-0.47143625130400624,0.03657779556969958,-12.888591123696255,5.218850739028292e-38,0.0003074969276045431,0.00037676423921318043,0.39357202079576914,0.00025078112142315565,0.00032760134551379716,-0.0003913175157838868,0.0008928797586301981,0.7780151485047624,30.09373457077868,0.0,0.34694436427135433,15,1963-07-01,1991-12-31
ME3 BM3,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,0.00020838112360092848,0.0006058430473053333,0.3439523231763827,0.7308821414941089,12,0.9359775563120176,0.013142238398958282,0.00020838112360092848,0.0006058430473053333,0.3439523231763827,0.7308821414941089,0.9743645227366758,0.025857435951369807,37.68217871907978,0.0,0.5411936221238384,0.036008541194511176,15.029590318597332,4.699028889491004e-51,0.3119368530737096,0.03468148348681872,8.994334201196049,2.376683498101067e-19,0.0003074969276045431,0.00037676423921318043,0.3878758922480836,0.0002471440645412783,0.00030961716543711186,-0.00035970557971546095,0.0008539937087980175,0.7876299427194182,29.657287744953393,0.0,0.8162335232888871,16,1963-07-01,1991-12-31
ME4 BM3,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,2.835058809635011e-05,0.0007923968228803014,0.035778270782684245,0.971459159375517,12,0.9156548960104623,0.014732935704707243,2.835058809635011e-05,0.0007923968228803014,0.035778270782684245,0.971459159375517,1.0490030327242577,0.022941115049499288,45.72589564460395,0.0,0.23218186986286127,0.043760375576999855,5.305755876210862,1.1220704543113843e-07,0.31712376354898236,0.06184034987506564,5.128104290963082,2.926743052282794e-07,0.0003074969276045431,0.00037676423921318043,0.3220129441486647,0.0002416460183322553,0.00034831883314053467,-0.0004410588946231926,0.0009243509312877032,0.7560803431040392,28.997522199870634,0.0,0.971459159375517,17,1963-07-01,1991-12-31
ME5 BM4,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0005627804585241664,0.000623890759481191,-0.9020496777226799,0.3670304789042914,12,0.9032134176308668,0.013418557616837596,-0.0005627804585241664,0.000623890759481191,-0.9020496777226799,0.3670304789042914,1.0024678360214014,0.018512483562765567,54.150910255914006,0.0,-0.20623936839660706,0.03144706204380531,-6.558303224298618,5.442345972484804e-11,0.5575306747613361,0.040824457028110404,13.656781139243039,1.8393627020391276e-42,0.0003074969276045431,0.00037676423921318043,0.49551336330079987,0.00022734951934587518,0.0002797498946492344,-0.0003209602741666242,0.0007756593128583746,0.7918016588743058,27.28194232150502,0.0,0.6554115694719489,18,1963-07-01,1991-12-31
ME1 BM2,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0007995858920777552,0.0006776308478992567,-1.1799726865395443,0.23801107836535795,12,0.9574514957916762,0.014048829960491595,-0.0007995858920777552,0.0006776308478992567,-1.1799726865395443,0.23801107836535795,0.9727521841884728,0.018947828435848635,51.33845218632333,0.0,1.2725515520793886,0.03833607103385201,33.194626307836394,1.2870010037798121e-241,0.07860978620983891,0.04812708515715067,1.6333793320985939,0.10238924110634429,0.0003074969276045431,0.00037676423921318043,0.41016715778312546,0.00021355006684918354,0.00030605917233122776,-0.0003863259109200228,0.0008134260446183898,0.7573304433661685,25.626008021902024,0.0,0.5554665930069094,19,1963-07-01,1991-12-31
ME2 BM2,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0002228696601009566,0.0007021574879508296,-0.31740694064429553,0.7509348414257762,12,0.9613477601688049,0.012395356552478674,-0.0002228696601009566,0.0007021574879508296,-0.31740694064429553,0.7509348414257762,1.026427771307703,0.016518454102520657,62.138246408365404,0.0,0.9333665524037997,0.039919216601416396,23.381384502687922,6.6105918864461315e-121,0.02936820233358019,0.04033710818780411,0.7280691069088499,0.4665712837918984,0.0003074969276045431,0.00037676423921318043,0.3924691827754558,0.00017741723779244535,0.0003220020107752591,-0.0004537067033270624,0.0008085411789119531,0.7091769142089492,21.29006853509344,0.0,0.8162335232888871,20,1963-07-01,1991-12-31
ME4 BM2,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0014651140731253723,0.0009395329967511114,-1.5594067246086205,0.11890014571037012,12,0.923642146434724,0.014948860771229509,-0.0014651140731253723,0.0009395329967511114,-1.5594067246086205,0.11890014571037012,1.068098618881449,0.0254573155949967,41.95645117788341,0.0,0.27439390670229935,0.04701901779502157,5.835806862204436,5.353087635456886e-09,0.024975506886930083,0.056381982507341555,0.4429696469732684,0.6577876895349462,0.0003074969276045431,0.00037676423921318043,0.29285145119819506,8.753054322339687e-05,0.00035985324730571577,-0.000617781821495806,0.0007928429079425998,0.5960900862656484,10.503665186807625,0.0,0.37156295534490663,21,1963-07-01,1991-12-31
BIG HiBM,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.001894665949401585,0.0009231126839530822,-2.0524752636785157,0.04012349663694479,12,0.8364472922753394,0.019224492558194993,-0.001894665949401585,0.0009231126839530822,-2.0524752636785157,0.04012349663694479,1.027431352014041,0.040227463883900215,25.540545011221507,6.993267869974211e-144,-0.04450947849066021,0.05267466421927275,-0.8449883668052879,0.39811733424487217,0.7723819034843321,0.04609598935272256,16.755945893126015,5.123943603783788e-63,0.0003074969276045431,0.00037676423921318043,0.2669720801766835,-2.4019661015063122e-05,0.0003589646447478457,-0.0007275903647208406,0.0006795510426907144,0.47332519384280397,-2.8823593218075745,2.8823593218075745,0.25077185398090496,22,1963-07-01,1991-12-31
SMALL LoBM,ff3,1963-07-31 23:59:59.999999999,1991-11-30 23:59:59.999999999,341,-0.0036031165426982045,0.001290898629418775,-2.7911692371387065,0.005251800439140365,12,0.9386939752134411,0.019276020458755618,-0.0036031165426982045,0.001290898629418775,-2.7911692371387065,0.005251800439140365,1.0390121117123077,0.021912723074979476,47.415928552425285,0.0,1.4144814871630065,0.060392966080453137,23.421295209754888,2.593504002347322e-121,-0.29023728806608107,0.06528569153849365,-4.445649287408586,8.762680390110479e-06,0.0003074969276045431,0.00037676423921318043,0.1934899809975299,-7.294500199821457e-05,0.0003753937820031194,-0.0008087168147243286,0.0006628268107278995,0.4229642459463188,-8.753400239785748,8.753400239785748,0.09555634288043702,23,1963-07-01,1991-12-31
