date_t,date_t_plus_h,horizon_months,window_length_months,window_overlap_fraction,structural_inference_eligible,n_portfolios,spearman_rank_autocorrelation,pearson_score_autocorrelation,average_absolute_rank_change,top_quintile_stay_probability,bottom_quintile_stay_probability
1990-06-30 23:59:59.999999999,1991-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7415384615384616,0.8595073589175863,4.16,0.8,0.6
1991-06-30 23:59:59.999999999,1992-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9261538461538461,0.9442655251881606,2.0,1.0,1.0
1992-06-30 23:59:59.999999999,1993-06-30 23:59:59.999999999,12,120,0.9,False,25,0.976923076923077,0.9811512131633572,1.12,1.0,0.8
1993-06-30 23:59:59.999999999,1994-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9869230769230769,0.9812927703824463,0.88,1.0,1.0
1994-06-30 23:59:59.999999999,1995-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9646153846153847,0.9785676141423898,1.52,1.0,0.8
1995-06-30 23:59:59.999999999,1996-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8930769230769231,0.9261628533966264,2.64,0.8,0.6
1996-06-30 23:59:59.999999999,1997-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9653846153846154,0.9874816849371653,1.36,1.0,1.0
1997-06-30 23:59:59.999999999,1998-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9207692307692308,0.9358783133905295,2.08,0.6,0.8
1998-06-30 23:59:59.999999999,1999-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9561538461538461,0.975140455764147,1.44,0.6,0.8
1999-06-30 23:59:59.999999999,2000-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9123076923076923,0.9036510044705481,2.32,1.0,0.8
2000-06-30 23:59:59.999999999,2001-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8330769230769232,0.9119937393950561,3.12,0.8,0.6
2001-06-30 23:59:59.999999999,2002-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7446153846153846,0.9154117401356119,3.68,0.8,0.6
2002-06-30 23:59:59.999999999,2003-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8876923076923076,0.9542625827600145,2.4,1.0,0.8
2003-06-30 23:59:59.999999999,2004-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9607692307692307,0.9767853336017431,1.36,1.0,0.8
2004-06-30 23:59:59.999999999,2005-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9284615384615384,0.960519992882603,2.0,0.8,0.8
2005-06-30 23:59:59.999999999,2006-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9415384615384615,0.9707696789103188,1.68,1.0,0.8
2006-06-30 23:59:59.999999999,2007-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9576923076923078,0.965334521785527,1.52,0.8,0.6
2007-06-30 23:59:59.999999999,2008-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8192307692307693,0.8314816545626573,3.44,0.8,0.8
2008-06-30 23:59:59.999999999,2009-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9323076923076923,0.9329050770423561,2.0,1.0,0.8
2009-06-30 23:59:59.999999999,2010-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9076923076923077,0.9299719459414267,2.08,0.6,0.8
2010-06-30 23:59:59.999999999,2011-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9561538461538461,0.9809949689673705,1.44,0.8,1.0
2011-06-30 23:59:59.999999999,2012-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9046153846153847,0.926635867109505,2.4,1.0,0.8
2012-06-30 23:59:59.999999999,2013-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8930769230769231,0.9138588295081831,2.32,0.8,0.8
2013-06-30 23:59:59.999999999,2014-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9630769230769232,0.9642507008496632,1.36,1.0,1.0
2014-06-30 23:59:59.999999999,2015-06-30 23:59:59.999999999,12,120,0.9,False,25,0.936923076923077,0.9611017656356373,1.92,0.8,1.0
2015-06-30 23:59:59.999999999,2016-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8438461538461538,0.9367624249115576,2.96,0.6,1.0
2016-06-30 23:59:59.999999999,2017-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7584615384615384,0.8114730533199424,4.0,0.4,0.8
2017-06-30 23:59:59.999999999,2018-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9253846153846155,0.9350717412896029,1.92,0.8,0.8
2018-06-30 23:59:59.999999999,2019-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8369230769230769,0.8195881880462137,2.96,0.8,0.6
2019-06-30 23:59:59.999999999,2020-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9753846153846154,0.9777770234000002,1.12,0.8,0.8
2020-06-30 23:59:59.999999999,2021-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9923076923076923,0.991206407686211,0.64,1.0,0.8
2021-06-30 23:59:59.999999999,2022-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8846153846153847,0.8897646526571639,2.72,1.0,0.6
2022-06-30 23:59:59.999999999,2023-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8530769230769231,0.8875159042274597,3.04,0.8,1.0
2023-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8400000000000001,0.9221409865584964,2.88,0.8,1.0
2024-06-30 23:59:59.999999999,2025-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7438461538461538,0.7139534922528846,3.6,0.8,0.6
1936-06-30 23:59:59.999999999,1941-06-30 23:59:59.999999999,60,120,0.5,False,25,0.37538461538461537,0.38255119501362733,6.4,0.4,0.4
1937-06-30 23:59:59.999999999,1942-06-30 23:59:59.999999999,60,120,0.5,False,25,0.44230769230769235,0.5046188380731382,6.4,0.6,0.2
1938-06-30 23:59:59.999999999,1943-06-30 23:59:59.999999999,60,120,0.5,False,25,0.21307692307692308,0.3697223459525232,6.96,0.2,0.2
1939-06-30 23:59:59.999999999,1944-06-30 23:59:59.999999999,60,120,0.5,False,25,0.01923076923076923,0.25328675237817055,7.92,0.2,0.2
1940-06-30 23:59:59.999999999,1945-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2592307692307692,0.43838813810099314,6.24,0.6,0.2
1941-06-30 23:59:59.999999999,1946-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2353846153846154,0.5108498259344127,6.64,0.6,0.2
1942-06-30 23:59:59.999999999,1947-06-30 23:59:59.999999999,60,120,0.5,False,25,0.1523076923076923,0.31847806347913804,6.8,0.4,0.4
1943-06-30 23:59:59.999999999,1948-06-30 23:59:59.999999999,60,120,0.5,False,25,0.2538461538461539,0.34911842074625304,7.52,0.2,0.4
