portfolio,model_type,factor_model,sample_start,sample_end,n_obs,alpha,sigma_v,sigma_u,lambda,log_likelihood,AIC,BIC,u_hat,u_hat_standardized,AE,AE_median,AE_raw_plugin_legacy,normal_log_likelihood,boundary_lr_stat,sfa_boundary_p_value,sfa_supported_nominal_5pct,residual_mean,residual_std,converged,message,runtime_seconds,coef_alpha,coef_mkt_rf,coef_smb,coef_hml,sfa_boundary_q_value,sfa_supported_fdr_5pct,sfa_rank,AE_rank
ME3 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00042934962903367724,0.01753140323987701,0.0,0.0,3131.413798340519,-6250.827596681038,-6220.32223814845,0.0,0.0,1.0,1.0,1.0,3131.4138415496145,0.0,0.5,False,5.490625184650816e-18,0.017538755474731514,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.363235512002575,0.00042934962903367724,0.9841468219062522,0.45203150284600385,0.3232945783269201,0.5,False,,
ME3 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0003657396449469181,0.017731308031703658,0.0,0.0,3119.1464637937224,-6226.292927587445,-6195.787569054857,0.0,0.0,1.0,1.0,1.0,3117.8874300570546,2.5180674733355772,0.05627421901170196,False,2.5824550656620365e-18,0.017738744101660115,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23560092499974417,0.0003657396449469181,0.9942791365227804,0.47666206839016423,0.5623411638049132,0.35171386882313727,False,,
ME3 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.000629352453346322,0.023107992119289298,0.0,0.0,2801.925360986209,-5591.850721972418,-5561.34536343983,0.0,0.0,1.0,1.0,1.0,2801.925383213766,0.0,0.5,False,2.280005373287203e-18,0.02311768303693874,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.28853810999862617,-0.000629352453346322,1.1127230021919916,0.5893493432424275,0.8646763716853417,0.5,False,,
ME4 BM1,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00041496537444961384,0.016391468949605376,0.0,0.0,3211.622462446932,-6411.244924893864,-6380.739566361276,0.0,0.0,1.0,1.0,1.0,3211.6224886227556,0.0,0.5,False,3.4898041427865354e-19,0.01639834312434648,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3050746059998346,0.00041496537444961384,1.0731467043796994,0.339609401327556,-0.32906394791885835,0.5,False,,
ME4 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.00011636091007066879,0.016890338943873547,0.0,0.0,3175.855367668293,-6339.710735336586,-6309.205376803999,0.0,0.0,1.0,1.0,1.0,3175.8554122890127,0.0,0.5,False,2.0473517637681007e-18,0.016897422332293074,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.30430119700031355,-0.00011636091007066879,1.0287182044345595,0.2414170559635592,0.10626185881104987,0.5,False,,
ME4 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.00012569055252948267,0.018294232936741647,0.0,0.0,3080.5452077274776,-6149.090415454955,-6118.585056922368,0.0,0.0,1.0,1.0,1.0,3080.60143466944,0.0,0.5,False,7.677569114130379e-19,0.018301905083414303,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23871526199945947,-0.00012569055252948267,1.009760520330716,0.20798926048102317,0.3477515098417601,0.5,False,,
ME4 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.00018868611703281183,0.019877475132805866,0.0,0.0,2981.580834151041,-5951.161668302082,-5920.656309769494,0.0,0.0,1.0,1.0,1.0,2981.5808627023075,0.0,0.5,False,2.326536095191024e-18,0.019885811251911176,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2893894539993198,0.00018868611703281183,1.034486593306196,0.21444808490851744,0.5662617841328217,0.5,False,,
ME4 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.0017549652967889487,0.02560786046660464,0.0,0.0,2679.3794254347804,-5346.758850869561,-5316.253492336973,0.0,0.0,1.0,1.0,1.0,2679.37944859068,0.0,0.5,False,6.793485397957789e-18,0.02561859976691595,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3434818890018505,-0.0017549652967889487,1.1851195702571837,0.3197567994664488,0.9466193011960145,0.5,False,,
ME5 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-4.539148664726002e-05,0.01409775472355278,0.0,0.0,3391.4617950537217,-6770.9235901074435,-6740.418231574856,0.0,0.0,1.0,1.0,1.0,3391.461832241396,0.0,0.5,False,-2.326536095191024e-19,0.014103666971547447,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3131747629995516,-4.539148664726002e-05,0.9777888638983169,-0.19067786450903149,0.02580348181829084,0.5,False,,
ME5 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.0106204589182604,0.015022750739941892,0.013769653143593748,0.9165866745684291,3158.0043306103134,-6304.008661220627,-6273.503302688039,0.010944510556335087,0.5370596155153455,0.6285895676692889,0.6409499038416656,0.9891242405072336,3154.897486356548,6.213688507530605,0.006338311367627318,True,4.538665838010466e-09,0.013207023794258383,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2007389680002234,0.0106204589182604,0.9593697771372545,-0.22695699354794976,0.3322535038276371,0.07922889209534147,False,,
SMALL HiBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,0.001408467265410005,0.024420572052169413,0.0,0.0,2736.0152742565524,-5460.030548513105,-5429.525189980517,0.0,0.0,1.0,1.0,1.0,2736.0152862087534,0.0,0.5,False,1.5355138228260757e-18,0.02443081343322443,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2413033060001908,0.001408467265410005,0.9803465959682943,1.28656127109618,0.8886952643898034,0.5,False,,
SMALL LoBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,1193,-0.006749609404761478,0.06904901183620805,0.0,0.0,1496.0222072906013,-2980.0444145812025,-2949.539056048615,0.0,0.0,1.0,1.0,1.0,1496.0222110044344,0.0,0.5,False,4.2808264151514836e-18,0.06907796927586903,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.23630118499931996,-0.006749609404761478,1.2687695034411488,1.4749186086661326,0.35016304128449605,0.5,False,,
