portfolio,BIG HiBM,BIG LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME5 BM2,ME5 BM3,ME5 BM4,SMALL HiBM,SMALL LoBM
ME3 BM1,1.855574635367084e-08,-1.567106993955623e-08,3.767665851904123e-08,3.418179355102151e-09,2.2227534484914937e-08,5.229330857045126e-08,5.853705520317004e-08,2.102126598613757e-08,1.2050657697580055e-08,1.0020439135658324e-08,2.2751299230357066e-07,6.322554749657049e-09,2.6126892866800024e-08,2.58061656196819e-08,-1.5696031095894265e-08,4.1277681497094336e-08,1.4159488292506281e-08,8.264420497305665e-09,-1.1108941331453655e-08,5.634924509864035e-08,-9.958817737609449e-10,3.9717137629487224e-08,5.55157531130488e-08,-5.874084630433991e-09,7.894378731943382e-08
ME3 BM2,7.167654976625874e-08,-3.995272689814638e-08,-7.321344853524763e-08,2.4777025302199123e-08,2.0339542906214426e-08,-9.762265280810366e-09,4.3884255672589724e-08,5.274916615944625e-08,4.9200012713340226e-08,9.784165308141876e-09,6.322554749657049e-09,2.592850661336091e-07,1.1101682059059002e-07,5.456883763881443e-08,5.208061629020292e-08,8.229223219005948e-08,1.2519269927755207e-07,9.513017457619774e-08,1.3591488373873469e-07,7.801867642502363e-09,8.677585770511167e-08,6.254097912788774e-08,2.230774760589035e-08,-5.506471418149537e-08,-4.8739118136283156e-08
ME3 BM3,-4.676482596458567e-08,4.818451501890622e-09,-2.2150374913478037e-07,8.995363637817876e-09,1.3246086345463932e-08,-3.471661624929241e-08,1.1128471438497682e-07,1.133753568085507e-07,6.40138373192559e-08,-2.1781607669426844e-08,2.6126892866800024e-08,1.1101682059059002e-07,2.741693984953508e-07,1.1079153844381432e-07,6.14650056360449e-08,-1.4001437339415695e-08,1.2025068999767142e-07,9.897550108713715e-08,4.940188081136114e-08,-5.9432049300888964e-08,4.868190667378574e-08,9.245508472073752e-08,6.9176530158088e-09,-8.434128055897375e-08,-1.5710594240344185e-07
ME3 BM4,-2.0423942232098875e-07,-8.487310257519915e-10,-6.1800262595398e-08,-2.351525848084542e-08,4.300638074297914e-08,1.368697435809184e-09,8.740474088777578e-08,8.775023261616953e-08,2.452729189606571e-08,-1.7310080167662707e-08,2.58061656196819e-08,5.456883763881443e-08,1.1079153844381432e-07,2.5478901190120677e-07,2.7102393004637224e-08,-2.989312788949876e-09,5.360993730149318e-08,9.071938541361917e-08,5.64381048307543e-08,-3.527521777177225e-08,3.5476936617002754e-08,1.6088336375544343e-07,7.412433385642223e-08,-5.55836005025326e-08,4.838979286752294e-08
ME3 BM5,1.1497625120976544e-07,4.0958959543835876e-08,1.0451027873317542e-07,-1.9222016628568245e-08,-1.9396388404809177e-08,3.9350286811163163e-08,-8.42762395349874e-09,2.9682865177103146e-08,1.2284298740866124e-08,3.141254807980645e-08,-1.5696031095894265e-08,5.208061629020292e-08,6.14650056360449e-08,2.7102393004637224e-08,3.5693875621380785e-07,7.122102563070016e-08,3.509940457179748e-08,6.063181275113705e-09,1.0038729268296114e-07,9.402057008924087e-08,3.594722678431553e-08,1.4721325686403091e-08,-6.432240994643625e-08,-6.283068566676289e-08,5.9559690290367684e-08
ME4 BM1,1.7354721471702776e-07,-1.7427614653295904e-08,9.038251898985972e-08,-8.293284444202618e-09,2.8063540094775146e-08,6.943163511940292e-08,-2.365329687964757e-08,-5.003576617995209e-08,-7.05613908955171e-09,4.9181418152831726e-08,4.1277681497094336e-08,8.229223219005948e-08,-1.4001437339415695e-08,-2.989312788949876e-09,7.122102563070016e-08,2.888384069106436e-07,6.973033813586259e-08,4.315905439541436e-08,6.625705929438989e-08,8.526583865923878e-08,2.2658314710708054e-08,-1.825442195513348e-08,-1.3805682108160571e-08,-3.316399492626107e-08,1.1808849851819202e-07
ME4 BM2,9.045486397853601e-08,-2.490256816161074e-08,-7.593580263116848e-08,1.8520557428172506e-08,3.8506661178789395e-08,3.8407645554574055e-08,7.571827201855222e-08,5.6049190596763605e-08,7.205299959066502e-08,2.8076252988289297e-08,1.4159488292506281e-08,1.2519269927755207e-07,1.2025068999767142e-07,5.360993730149318e-08,3.509940457179748e-08,6.973033813586259e-08,3.2873258251525544e-07,1.4619063814477034e-07,3.8551057905212154e-08,2.239365391996167e-08,9.688179341616399e-08,4.2026781097689146e-08,-5.572112254303742e-08,-2.4026527230343614e-08,-1.8060679191703088e-07
ME4 BM3,-7.709894626617786e-08,-3.774903771358491e-08,4.309339624036419e-08,5.8754748415537875e-09,3.162131929125036e-08,1.2514127864871494e-08,7.275765855015902e-08,4.184873919204394e-08,1.6712072726560398e-08,8.67582638010244e-09,8.264420497305665e-09,9.513017457619774e-08,9.897550108713715e-08,9.071938541361917e-08,6.063181275113705e-09,4.315905439541436e-08,1.4619063814477034e-07,2.7903649731821094e-07,3.788702517071513e-08,4.213148244287835e-09,5.7525732212376136e-08,1.127044402200257e-07,7.675370355430406e-08,-2.2146565248992058e-08,-5.440938111789445e-08
ME4 BM4,8.885569098349298e-08,-2.161415980091019e-08,-7.206446625910026e-09,2.705190762380088e-08,2.989073214246894e-08,5.833880341206515e-08,6.002031750000992e-09,-2.155880839491952e-09,3.9934111836460955e-08,-2.9105443068941532e-09,-1.1108941331453655e-08,1.3591488373873469e-07,4.940188081136114e-08,5.64381048307543e-08,1.0038729268296114e-07,6.625705929438989e-08,3.8551057905212154e-08,3.788702517071513e-08,2.833158847026948e-07,4.849552612972215e-08,4.812939164253792e-08,4.486681684017732e-08,1.3664857647339743e-08,-1.493088067313033e-08,7.55252571835488e-08
ME4 BM5,1.1895261276296833e-07,9.793132291132936e-09,1.473792761300618e-07,-2.6475675015107955e-08,-7.39410539661277e-08,1.2208634428089397e-07,-5.386834262803267e-08,-4.464314127066654e-09,-3.659410658296748e-08,1.1942133288392555e-07,5.634924509864035e-08,7.801867642502363e-09,-5.9432049300888964e-08,-3.527521777177225e-08,9.402057008924087e-08,8.526583865923878e-08,2.239365391996167e-08,4.213148244287835e-09,4.849552612972215e-08,5.507952164196363e-07,4.0305845303448575e-09,-6.727094245036874e-08,2.3763551035718022e-08,-3.674128374091457e-08,7.779807280008036e-09
ME5 BM2,-1.2578258280726746e-08,-6.122353238449338e-08,-9.661685398525843e-11,-2.0804143944040674e-08,3.2264164639791014e-08,9.30966234332295e-09,2.4920623024389305e-08,2.5665030422188304e-08,1.5385422787513008e-08,3.270851189799255e-08,-9.958817737609449e-10,8.677585770511167e-08,4.868190667378574e-08,3.5476936617002754e-08,3.594722678431553e-08,2.2658314710708054e-08,9.688179341616399e-08,5.7525732212376136e-08,4.812939164253792e-08,4.0305845303448575e-09,1.69863051544725e-07,4.7449258164172634e-08,1.0141060076843548e-09,5.254413608385973e-09,-2.6713078948757198e-08
ME5 BM3,-3.706518877602598e-07,-8.636194858296497e-08,9.99347258034132e-08,-1.729402434083652e-08,9.698084339236678e-08,5.143402640742815e-09,9.872044952970266e-08,4.541580807598774e-08,-1.7500642108750837e-11,-2.3661041435895998e-08,3.9717137629487224e-08,6.254097912788774e-08,9.245508472073752e-08,1.6088336375544343e-07,1.4721325686403091e-08,-1.825442195513348e-08,4.2026781097689146e-08,1.127044402200257e-07,4.486681684017732e-08,-6.727094245036874e-08,4.7449258164172634e-08,4.434418278733842e-07,1.9584633204706563e-07,1.7310894935151454e-08,3.06967569042562e-07
ME5 BM4,-3.632578641018678e-07,-5.545892511010278e-08,1.287379797310213e-07,-1.3981107862623317e-08,6.600829709570581e-08,2.699448553309525e-08,5.302778330047746e-08,8.234510962742962e-09,-4.4984901888793816e-08,-2.5109908324361846e-08,5.55157531130488e-08,2.230774760589035e-08,6.9176530158088e-09,7.412433385642223e-08,-6.432240994643625e-08,-1.3805682108160571e-08,-5.572112254303742e-08,7.675370355430406e-08,1.3664857647339743e-08,2.3763551035718022e-08,1.0141060076843548e-09,1.9584633204706563e-07,3.97746593092119e-07,3.3855743938311404e-08,2.815948212040998e-07
SMALL HiBM,-5.425606483524542e-08,3.928686828149865e-08,1.2950474884715998e-07,1.7299005001112326e-08,9.01160745679588e-08,1.029393398799149e-08,-4.728324923988284e-08,-5.2625606833185425e-08,-6.006767743242042e-08,7.192115353659966e-08,-5.874084630433991e-09,-5.506471418149537e-08,-8.434128055897375e-08,-5.55836005025326e-08,-6.283068566676289e-08,-3.316399492626107e-08,-2.4026527230343614e-08,-2.2146565248992058e-08,-1.493088067313033e-08,-3.674128374091457e-08,5.254413608385973e-09,1.7310894935151454e-08,3.3855743938311404e-08,3.671320289604158e-07,1.8187209479081108e-07
SMALL LoBM,2.4198819747934447e-10,-4.0921757543501185e-08,6.13745522343703e-07,1.7224432648898125e-07,9.001343813082607e-08,1.6319325253697094e-07,-1.7680038308928138e-08,-7.689817397743655e-08,-1.2204348507906607e-07,9.717683103498854e-08,7.894378731943382e-08,-4.8739118136283156e-08,-1.5710594240344185e-07,4.838979286752294e-08,5.9559690290367684e-08,1.1808849851819202e-07,-1.8060679191703088e-07,-5.440938111789445e-08,7.55252571835488e-08,7.779807280008036e-09,-2.6713078948757198e-08,3.06967569042562e-07,2.815948212040998e-07,1.8187209479081108e-07,2.0874063192402366e-06
